frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
16,3.0,[722.4587340630419 1412.9163540689667 1419.6811900596913 2056.8652487724676],[955.8310546875 1822.3740234375 1180.7449951171875 1921.4150390625],0.5211029052734375,NA13NRU,0.18441240186823166
18,5.0,[2195.4810367401747 1194.7623915112606 2822.6316327794816 1793.3514908066807],[2429.52734375 1601.8436279296875 2596.951171875 1691.3199462890625],0.6527448296546936,ML11NSU,0.13522936453100295
19,5.0,[2195.823450343309 1195.7431420335397 2825.2583293680195 1795.107667664974],[2429.559326171875 1601.7864990234375 2596.9111328125 1691.3184814453125],0.6512251496315002,ML11NSU,0.13522936453100295
24,5.0,[2194.225767652221 1198.0231758202451 2813.672634414908 1810.2383426874978],[2424.748046875 1623.0003662109375 2602.076171875 1705.2747802734375],0.610508143901825,MI75VSU,0.06728260240445044
25,5.0,[2194.87362218087 1200.530620666581 2813.5873737011457 1811.6363225438704],[2424.828369140625 1622.93408203125 2602.52783203125 1705.45166015625],0.6074037551879883,MI51VSU,0.3548895402259108
26,5.0,[2194.861525654341 1204.2625605881012 2813.155121740028 1814.7578538465077],[2419.990966796875 1621.6923828125 2610.35107421875 1716.402587890625],0.6428306698799133,NL51VSU,0.46573352917679395
27,5.0,[2196.8174281732577 1208.2148647456486 2813.733752129278 1816.5295733402206],[2424.638916015625 1623.3277587890625 2611.5712890625 1715.353271484375],0.663428008556366,MD51VSV,0.12165801484653757
28,3.0,[690.1605256172654 1449.496338949596 1402.698758107553 2104.3048823694535],[932.4830932617188 1872.7108154296875 1142.08056640625 1967.3792724609375],0.421053946018219,NA13NRU,0.12733046653529886
31,5.0,[2202.551274090462 1221.383993745671 2821.928440346281 1831.2728744598903],[2424.501220703125 1632.519775390625 2603.314697265625 1722.9072265625],0.6581388711929321,NV51WSU,0.14472659271457758
31,3.0,[683.8938503578395 1460.4443267811412 1399.9472102469729 2114.081080249416],[898.9962158203125 1869.5289306640625 1154.8887939453125 1987.94287109375],0.5357967019081116,NA13NRU,0.5968029733810841
34,3.0,[675.7917150889288 1470.3957320046102 1396.5137288187684 2124.846122752789],[918.173583984375 1880.8052978515625 1156.9368896484375 2003.1885986328125],0.6246789693832397,NA13NRU,0.2529845349289268
36,5.0,[2201.1328181355248 1244.1468551469256 2827.309995341201 1858.4147964514814],[2427.933349609375 1656.4593505859375 2614.085693359375 1744.555419921875],0.6528472304344177,MO35YSU,0.032089297163704324
37,3.0,[670.8262370315734 1483.0550000116905 1391.7801524042297 2135.1641997254274],[919.34326171875 1894.82958984375 1147.0213623046875 2008.083251953125],0.6133612394332886,NA13NRU,0.18664121196274225
39,3.0,[669.8430031139607 1492.605416710696 1393.8429648444858 2143.0422136320567],[888.5936279296875 1894.5572509765625 1154.21044921875 2031.4051513671875],0.2564849853515625,NA13NRU,0.48853893212114397
40,3.0,[668.4866889399289 1496.843832753867 1393.3502118843824 2146.5423271723253],[911.225830078125 1916.149658203125 1151.2994384765625 2027.052978515625],0.576755702495575,NA13NRU,0.4450955336088191
41,5.0,[2206.7207480285683 1251.0943272312095 2846.022547874138 1868.9942107832592],[2433.534423828125 1673.4393310546875 2621.9111328125 1760.5469970703125],0.6427527070045471,MM51TSU,0.051558132147354996
43,5.0,[2204.330341649223 1248.9287169560146 2847.0328802560466 1873.3218752299256],[2439.97802734375 1675.26708984375 2623.5556640625 1762.3212890625],0.6283164024353027,MO51VSU,0.09752692777670936
44,3.0,[656.5110988268507 1511.9778552298094 1384.863863272391 2151.1812477418644],[889.7594604492188 1925.9527587890625 1146.008056640625 2038.1510009765625],0.5790655612945557,NA13MRU,0.5144889613989113
45,3.0,[654.8167780790452 1515.5609189416994 1384.7248098112016 2153.097228781063],[894.9168701171875 1926.766845703125 1148.6204833984375 2053.44140625],0.6400291323661804,NA13MRU,0.5390127336161852
46,3.0,[652.6581579861117 1517.9004820638036 1382.9836835423862 2152.6061912286905],[886.0039672851562 1929.9097900390625 1141.06396484375 2056.85009765625],0.6481381058692932,NA13MRU,0.2551965865691479
47,5.0,[2208.2592872085474 1262.1780597954319 2856.155159377839 1888.7474706263],[2435.642578125 1691.738525390625 2622.268798828125 1781.858642578125],0.6543868780136108,MZ51VSU,0.07214159563374126
47,3.0,[650.7496010934155 1518.8216331410763 1382.4609231297914 2151.1719661868287],[886.1663818359375 1939.760009765625 1142.703369140625 2061.336181640625],0.6375666856765747,NA13NRU,0.22108598443039926
48,3.0,[649.5623665490582 1521.5682556966246 1381.4061018722095 2151.2496549915013],[891.29736328125 1954.0869140625 1145.265380859375 2058.883544921875],0.47293803095817566,NA13NRU,0.22811619574850445
49,3.0,[649.2277633997437 1523.2881593537459 1380.819738929305 2150.8424759989593],[890.74951171875 1953.06201171875 1145.6434326171875 2059.260986328125],0.4828571677207947,NA13NRU,0.3905454403796181
51,3.0,[648.4604849951581 1532.1952781879445 1380.5400272785773 2152.7470003151566],[886.875244140625 1963.40771484375 1133.5550537109375 2077.388671875],0.6307950019836426,NA13NRU,0.20728502917962613
52,3.0,[645.7620446469273 1536.4298475794155 1379.9628978717258 2153.277532774027],[880.9014282226562 1962.74462890625 1143.97265625 2093.817626953125],0.632202684879303,NA13NRU,0.5322793654116851
