frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
254,1,2050.2887001721883 1187.5625996563385 2596.9135191847145 1655.1803307465962,2229.029541015625 1458.53515625 2446.62548828125 1556.6339111328125,0.3548615574836731,AP05JEO,0.38292365165731373
255,1,2050.8839462911596 1187.2595391037974 2596.7862448707833 1656.6929149930195,2226.2900390625 1465.1019287109375 2451.44287109375 1563.7701416015625,0.38429099321365356,AP05JEO,0.3638881011465064
256,1,2051.076048397734 1189.2117592833338 2596.771740516591 1659.8412559804894,2232.1310221354165 1468.151611328125 2447.85595703125 1564.5205078125,0,0,0
257,1,2051.2681505043092 1191.1639794628704 2596.757236162399 1662.9895969679594,2237.9720052083335 1471.2012939453125 2444.26904296875 1565.2708740234375,0,0,0
258,1,2051.460252610884 1193.1161996424069 2596.7427318082064 1666.1379379554294,2243.81298828125 1474.2509765625 2440.68212890625 1566.021240234375,0.2743489742279053,AP05JEO,0.21366011368014057
259,1,2051.0407136629156 1193.9086529790252 2596.7901237119186 1667.55808558636,2243.930419921875 1474.288330078125 2440.69189453125 1566.024169921875,0.2762046754360199,AP05JEO,0.21366011368014057
260,1,2050.4890900541427 1196.2238952428288 2597.7859580730556 1670.1027097523342,2241.971533203125 1477.2767578125 2441.804052734375 1569.55751953125,0,0,0
261,1,2049.93746644537 1198.5391375066322 2598.781792434193 1672.6473339183085,2240.012646484375 1480.265185546875 2442.9162109375 1573.090869140625,0,0,0
262,1,2049.3858428365975 1200.8543797704358 2599.77762679533 1675.1919580842828,2238.053759765625 1483.25361328125 2444.028369140625 1576.62421875,0,0,0
263,1,2048.8342192278246 1203.1696220342392 2600.7734611564674 1677.736582250257,2236.094873046875 1486.242041015625 2445.14052734375 1580.157568359375,0,0,0
264,1,2048.282595619052 1205.4848642980428 2601.7692955176044 1680.2812064162313,2234.135986328125 1489.23046875 2446.252685546875 1583.69091796875,0.30403804779052734,AP05JED,0.37550753127228004
265,1,2047.397001721132 1206.6813032976665 2602.1965550904506 1681.5600617256346,2234.1943359375 1489.301513671875 2446.1630859375 1583.6011962890625,0.3014993667602539,AP05JED,0.37550753127228004
266,1,2046.530314129397 1208.047209555851 2602.9724414197112 1682.753895113688,2241.4520874023438 1494.6117553710938 2449.108154296875 1587.7857055664062,0,0,0
267,1,2045.663626537662 1209.4131158140353 2603.748327748972 1683.9477285017415,2248.7098388671875 1499.9219970703125 2452.05322265625 1591.97021484375,0,0,0
268,1,2044.796938945927 1210.77902207222 2604.524214078233 1685.1415618897952,2255.9675903320312 1505.2322387695312 2454.998291015625 1596.1547241210938,0,0,0
269,1,2043.930251354192 1212.1449283304044 2605.3001004074936 1686.3353952778486,2263.225341796875 1510.54248046875 2457.943359375 1600.3392333984375,0.4544812738895416,AP05JED,0.1774550106805507
270,1,2042.9042481674214 1215.5452494540116 2606.602514489473 1690.4815920489307,2243.79541015625 1496.6883544921875 2463.714599609375 1602.4588623046875,0.4202664792537689,AP05JEO,0.5439310575339795
271,1,2041.9940840526597 1216.6012013433049 2607.433466653456 1692.111641399899,2243.7841796875 1496.7132568359375 2463.681396484375 1602.451171875,0.42191624641418457,AP05JEO,0.5439310575339795
272,1,2041.7092114639397 1218.6856684769864 2609.948509462839 1694.9592926266014,2256.323974609375 1502.171630859375 2471.45361328125 1603.81201171875,0.5350752472877502,AP05JEO,0.2109699159177107
273,1,2041.4549274931644 1220.8004963559038 2611.5003294927747 1698.5623278038079,2254.91015625 1514.117431640625 2460.598388671875 1604.798583984375,0.5453227162361145,AP05JEO,0.7364453259873672
274,1,2042.396847241622 1222.5965809191193 2614.180295882308 1701.2069506113912,2244.68115234375 1516.2916259765625 2466.424072265625 1607.2994384765625,0.4555216431617737,AP05JEO,0.2889517971687925
275,1,2044.5052296420395 1226.0681770853926 2616.2350121221148 1705.0153936370139,2241.551513671875 1512.52294921875 2470.840576171875 1608.6474609375,0.4891492426395416,AP05JEO,0.4358476557492295
276,1,2047.804354095801 1228.9562840196106 2618.5769266370985 1707.887007164067,2239.3330078125 1509.4661865234375 2470.5703125 1612.7515869140625,0.4721173644065857,AP05JEO,0.2964593316938809
277,1,2049.0794345279087 1229.9758056844998 2619.2509763882294 1708.8811405024267,2239.373779296875 1509.6134033203125 2470.553955078125 1612.6519775390625,0.47564712166786194,AP05JEO,0.2964593316938809
278,1,2050.7832930472055 1230.994118882706 2621.041459992643 1709.8130018697907,2265.2470703125 1511.9501953125 2476.430419921875 1604.940673828125,0.29530754685401917,AP05JEO,0.5278609076083417
279,1,2054.6984433377165 1232.5767728555472 2622.6411623117856 1713.419619556308,2283.2705078125 1525.1685791015625 2473.202880859375 1611.1710205078125,0.41670432686805725,AP05JEO,0.2123236022171637
280,1,2052.5820720330626 1232.5783952162603 2623.330958389283 1716.5374741243888,2267.396728515625 1522.6636962890625 2473.257080078125 1617.9107666015625,0.5221536159515381,AP05JEO,0.5815775613487084
281,1,2050.2481146876503 1235.425546294451 2622.507679074683 1721.9072931495768,2241.6005859375 1531.250244140625 2459.53466796875 1621.606201171875,0.33294034004211426,AP05JEO,0.5666959019067457
282,1,2051.263545112359 1237.4324273323102 2624.970082998108 1726.1488193791486,2260.0224609375 1530.1151123046875 2477.82421875 1621.7235107421875,0.45837563276290894,AP05JEO,0.9817361809834407
283,1,2051.491376704063 1237.7133937363649 2626.167245162936 1728.0664462097345,2260.121337890625 1530.19775390625 2477.815185546875 1621.6783447265625,0.4559915363788605,AP05JEO,0.9817361809834407
284,1,2051.326459923703 1237.9826563677384 2627.58350737723 1729.6050251381112,2255.5634765625 1534.045166015625 2478.736083984375 1622.63525390625,0.2857879400253296,AP05JEO,0.8421832967460187
285,1,2047.9047543903787 1239.9143519175254 2627.3026983594505 1733.5917043932768,2250.393310546875 1532.185546875 2473.1513671875 1625.25,0.42030978202819824,AP05JEO,0.30473635173022395
286,1,2042.099406657123 1241.3934455618044 2626.3246701881017 1737.4617309443859,2246.15869140625 1534.830322265625 2474.839111328125 1632.29150390625,0.3679688572883606,AP05JEO,0.5921666488457237
287,1,2045.5787101477658 1243.0982870399948 2630.509653303336 1741.8627682589472,2246.022216796875 1528.974365234375 2484.995849609375 1635.3095703125,0.32242125272750854,AP05JEO,0.4089488080302886
288,1,2046.553703026835 1245.9508433088038 2633.3910775491568 1746.702738223845,2249.532958984375 1546.37548828125 2475.96484375 1648.029052734375,0.33628034591674805,AP05JEO,0.3783462380350176
289,1,2046.6890559827152 1246.6092793275527 2634.9052786046796 1748.7083069389075,2249.662841796875 1546.3428955078125 2475.922119140625 1648.0023193359375,0.3375820815563202,AP05JEO,0.3783462380350176
290,1,2047.3450064690583 1250.3093132741635 2637.1246426924877 1751.9711861441285,2254.08544921875 1549.3289794921875 2474.6953125 1650.4449462890625,0.5211428999900818,AP05JEO,0.48183252775652424
291,1,2047.559098377824 1253.2339925963333 2638.9360158849936 1755.815619273104,2255.477783203125 1551.2135009765625 2477.74072265625 1652.3280029296875,0.4019024670124054,AP05JEO,0.4067858877905257
292,1,2047.399156593844 1257.3887362493797 2639.6860467279203 1760.0754153200542,2259.619873046875 1550.4261474609375 2483.83984375 1651.7413330078125,0.3036445677280426,AP05JEO,0.2635804084380307
293,1,2049.6010953430573 1258.2438001183186 2640.128084905769 1762.6810566296904,2256.095458984375 1559.536376953125 2484.911376953125 1658.56201171875,0.5409756898880005,AP05JED,0.10558166070998835
294,1,2049.5122836998894 1260.3121896925254 2640.2395443577866 1766.256180349369,2245.749267578125 1561.7215576171875 2481.001708984375 1660.1971435546875,0.47775524854660034,AP05JED,0.251563431845487
295,1,2049.4123795274472 1260.7270843117783 2640.3633374390865 1767.8034106456423,2245.617431640625 1561.639892578125 2480.99365234375 1660.2421875,0.4772617220878601,AP05JED,0.251563431845487
296,1,2047.2520833916296 1263.0352643927897 2640.9208473932604 1770.7365166902985,2251.466552734375 1559.77294921875 2484.056640625 1663.446533203125,0.2771928608417511,AP05JEO,0.9179825397995601
297,1,2048.19867730194 1265.3509265628393 2644.9324095639217 1774.011224978593,2263.0257568359375 1569.638671875 2481.0103759765625 1669.38134765625,0,0,0
298,1,2049.14527121225 1267.6665887328888 2648.943971734583 1777.2859332668875,2274.5849609375 1579.50439453125 2477.964111328125 1675.316162109375,0.45538628101348877,AP05JEO,0.2994517621370936
